FRAME,RMSD
1, 0.0004948141286149621
2, 1.8177162408828735
3, 2.031905174255371
4, 1.9320094585418701
5, 2.8368208408355713
6, 3.2832350730895996
7, 3.609586715698242
8, 3.6968414783477783
9, 4.162705898284912
10, 3.8552119731903076
11, 3.793668031692505
12, 4.017122745513916
13, 3.567849636077881
14, 3.6710703372955322
15, 4.317625045776367
16, 3.6863253116607666
17, 3.3896560668945313
18, 3.0914952754974365
19, 3.3451313972473145
20, 3.4456920623779297
21, 3.423711061477661
22, 3.6698811054229736
23, 3.9509289264678955
24, 3.8776497840881348
25, 4.000679016113281
26, 4.036632537841797
27, 4.510422706604004
28, 4.414785385131836
29, 4.710859775543213
30, 4.485160827636719
31, 4.978718280792236
32, 4.88006067276001
33, 4.532468795776367
34, 4.663537979125977
35, 4.515020370483398
36, 5.025655746459961
37, 5.156971454620361
38, 5.197851657867432
39, 5.653436660766602
40, 4.907331466674805
41, 5.306484699249268
42, 5.067573547363281
43, 5.136024475097656
44, 5.322940349578857
45, 5.776361465454102
46, 5.835492134094238
47, 5.421708583831787
48, 5.5172247886657715
49, 5.829642295837402
50, 5.758697032928467
51, 5.841686725616455
52, 5.3181328773498535
53, 4.711125373840332
54, 4.9035820960998535
55, 4.959667205810547
56, 5.114314556121826
57, 4.576166152954102
58, 4.7092671394348145
59, 4.755666732788086
60, 4.985391616821289
61, 5.6331610679626465
62, 5.646663665771484
63, 6.190351963043213
64, 6.158353805541992
65, 5.679882049560547
66, 6.117709159851074
67, 5.99088716506958
68, 6.458148956298828
69, 6.11016321182251
70, 5.932692527770996
71, 5.537630558013916
72, 5.872626304626465
73, 6.944303512573242
74, 7.572995185852051
75, 7.8887104988098145
76, 7.6878886222839355
77, 7.729651927947998
78, 7.781087875366211
79, 8.056497573852539
80, 9.169692039489746
81, 8.448156356811523
82, 9.070585250854492
83, 8.419946670532227
84, 8.608861923217773
85, 9.476442337036133
86, 9.4735107421875
87, 9.983550071716309
88, 9.654662132263184
89, 9.474227905273438
90, 9.224335670471191
91, 8.864920616149902
92, 8.69034481048584
93, 8.278164863586426
94, 8.024367332458496
95, 8.837800025939941
96, 8.830743789672852
97, 9.488455772399902
98, 9.312905311584473
99, 9.124934196472168
100, 8.894571304321289
101, 9.015624046325684
102, 8.821033477783203
103, 8.70102310180664
104, 8.865140914916992
105, 8.425851821899414
106, 8.147990226745605
107, 7.811755657196045
108, 8.375542640686035
109, 8.405635833740234
110, 8.254666328430176
111, 8.530101776123047
112, 8.924137115478516
113, 8.399982452392578
114, 8.787879943847656
115, 8.603199005126953
116, 8.914843559265137
117, 8.541542053222656
118, 8.810530662536621
119, 8.764345169067383
120, 8.823051452636719
121, 9.15738296508789
122, 9.135725975036621
123, 8.946236610412598
124, 8.588610649108887
125, 8.797581672668457
126, 8.925426483154297
127, 8.425116539001465
128, 8.721250534057617
129, 8.592510223388672
130, 8.699833869934082
131, 8.803947448730469
132, 9.409358978271484
133, 9.39074420928955
134, 9.055292129516602
135, 8.865474700927734
136, 9.048673629760742
137, 8.522953033447266
138, 8.833684921264648
139, 8.728742599487305
140, 8.697012901306152
141, 9.016438484191895
142, 8.23337459564209
143, 8.448406219482422
144, 8.461840629577637
145, 8.199953079223633
146, 8.466050148010254
147, 8.21460247039795
148, 8.851508140563965
149, 8.615469932556152
150, 8.15783405303955
151, 8.618666648864746
152, 8.509359359741211
153, 8.460128784179688
154, 8.854904174804688
155, 9.049967765808105
156, 8.861894607543945
157, 8.44762897491455
158, 8.4111328125
159, 8.16823673248291
160, 8.207670211791992
161, 7.8263092041015625
162, 7.919024467468262
163, 7.86142110824585
164, 7.837606906890869
165, 8.231217384338379
166, 7.8669962882995605
167, 7.267005920410156
168, 7.428519248962402
169, 7.043996810913086
170, 7.430882453918457
171, 6.918046951293945
172, 7.337593078613281
173, 7.7127203941345215
174, 7.7269606590271
175, 7.5608439445495605
176, 8.013669967651367
177, 8.0811128616333
178, 7.898402214050293
179, 7.185268402099609
180, 6.627486705780029
181, 6.594522476196289
182, 6.9212493896484375
183, 7.319659233093262
184, 6.8921380043029785
185, 6.87044095993042
186, 6.778302192687988
187, 7.086306095123291
188, 7.393330097198486
189, 6.988272190093994
190, 7.202459335327148
191, 7.685662746429443
192, 7.467640399932861
193, 7.597960472106934
194, 7.422835826873779
195, 6.6697282791137695
196, 6.763538360595703
197, 7.224480628967285
198, 7.177220344543457
199, 6.836025238037109
200, 7.020353317260742
201, 7.3584370613098145
202, 7.189015865325928
203, 6.943761348724365
204, 7.014586448669434
205, 6.507505416870117
206, 6.201287269592285
207, 6.792141437530518
208, 6.791999340057373
209, 7.297245025634766
210, 7.549905300140381
211, 7.67397928237915
212, 8.27292251586914
213, 8.372021675109863
214, 8.510612487792969
215, 8.603840827941895
216, 8.472784996032715
217, 8.081548690795898
218, 7.693844795227051
219, 7.806725978851318
220, 7.221096038818359
221, 7.547024250030518
222, 7.705163478851318
223, 7.9865193367004395
224, 8.020995140075684
225, 8.266985893249512
226, 7.685742378234863
227, 8.084515571594238
228, 8.366021156311035
229, 8.278101921081543
230, 8.251358032226563
231, 8.50562572479248
232, 8.173519134521484
233, 8.177661895751953
234, 8.623244285583496
235, 8.375404357910156
236, 8.809568405151367
237, 8.280985832214355
238, 8.747049331665039
239, 8.14987850189209
240, 7.83288049697876
241, 7.853384494781494
242, 7.845224857330322
243, 8.127798080444336
244, 8.431902885437012
245, 8.345704078674316
246, 8.441009521484375
247, 8.400747299194336
248, 8.566290855407715
249, 8.264541625976563
250, 8.223383903503418
251, 8.217423439025879
