FRAME, xAxis, yAxis, zAxis
1,-2.780210094225948e-6,2.3624076645194555e-5,0
2,-0.28649376331170634,-0.34861824167545746,0
3,1.409472322057829,-2.296208189974664,1
4,0.7374318260995617,-1.9237081452975997,0
5,-0.16997496779306745,-2.1420730156426657,-2
6,-2.983517511262302,-1.9926173151477433,1
7,-3.339530651816428,-1.3283247131191005,3
8,-4.626407233889305,-1.3545649719177797,3
9,-3.759423275493014,-0.5076651022590022,5
10,-2.714471300324618,-0.00290415469328396,0
11,-4.608517544061945,-1.8767712400738503,0
12,-3.926060783258559,-2.2695784953179823,0
13,-3.7148475413685587,0.8044104993001671,-1
14,-0.9640247098232168,-1.0324636175564843,-3
15,-1.0962176279394313,-1.0952063232818616,-4
16,-1.4544875401975164,-2.7136009751382724,-6
17,-1.3343484130154264,-2.45625808434576,-5
18,-0.017965945296937767,-4.157823548727344,-7
19,0.031055839535293974,-3.7000878359223113,-8
20,0.6778929464676126,-1.948477446382332,-8
21,0.003826309372755512,-0.41722329699779,-9
22,0.7468662448405842,0.23900581916715163,-11
23,-1.7496988192765304,-0.9157042943998147,-11
24,-1.268964324781888,-1.4357699034915092,-10
25,-5.311932386300387,-1.1708845437711681,-12
26,-6.561070664350304,-0.1308326516606741,-10
27,-7.298273289654276,0.1425209965889724,-9
28,-7.621272080708508,0.4649887058315871,-8
29,-7.312480256361563,1.8851043150942601,-10
30,-7.809605288584419,1.45546562073555,-12
31,-8.727111293596634,2.9116611725156556,-12
32,-7.42124926836029,2.2641072604140917,-10
33,-8.47411420568863,0.36106437020489474,-12
34,-8.759602648623076,0.905755284493712,-10
35,-9.638443113677797,2.0120371942690425,-9
36,-7.269772506645918,5.015896479371438,-11
37,-6.678469582317088,5.476149810993189,-13
38,-6.225615661481996,6.820194912121904,-11
39,-5.69567909375409,4.957081214709467,-11
40,-7.159380583560067,3.806352265423564,-12
41,-5.259720659378962,2.082924390801629,-10
42,-4.002984230189843,-0.20151203228081754,-11
43,-3.6642369838682876,-1.2180945285644016,-12
44,-3.5762021026652984,-0.7874674481465672,-13
45,-1.6421847575759545,-1.9328541775640715,-14
46,-1.2923088475350768,-2.6413918459136276,-14
47,-2.6478471984621232,-4.168974215938858,-17
48,-1.6749430162614414,-1.8595306584554592,-21
49,-3.563346421033601,-1.8711192510092887,-21
50,-2.9797034353484375,-2.12052363709996,-24
51,-3.5143960600651565,-2.984717034134484,-25
52,-3.345290952461923,-2.629295035161867,-21
53,-5.0570222090801344,-4.019947512887449,-17
54,-6.58113611911204,-5.0035332539715744,-14
55,-7.030434502043984,-6.00486281909018,-17
56,-7.979101049582066,-6.265964274869684,-13
57,-9.83290936818818,-6.077629720149051,-12
58,-10.693070469211863,-6.849430084213008,-12
59,-9.176279768441004,-5.183727906640489,-12
60,-10.46185207586606,-4.085105812738188,-7
61,-9.92957360126097,-5.095473858100419,-7
62,-9.310926973591718,-2.3223858113471088,-7
63,-9.600417066605457,-0.738515817738517,-4
64,-8.545214357688373,-2.369962979767046,-2
65,-8.698392554230999,-2.2292497840371883,-3
66,-9.145295201126046,-5.062601046364089,-3
67,-11.279580420108731,-5.7216227832862545,-2
68,-9.781898987148436,-5.0932128623403,2
69,-9.207574192992116,-6.230499690278377,0
70,-9.656964228499826,-5.328989730099904,0
71,-7.091154426053788,-4.696422434914083,-2
72,-7.354091442770285,-6.57913427889064,1
73,-7.8111405543386,-8.141934658375524,2
74,-6.680349082494605,-7.064974258247461,0
75,-7.7275536387975166,-8.92345716383913,-2
76,-7.688081002939149,-6.696119508272392,-6
77,-7.25853952085618,-5.8955729016352425,-8
78,-9.232894831535715,-5.04866060182154,-6
79,-8.249033584443968,-5.40656814783815,-10
80,-8.148930787614164,-4.037614358466657,-7
81,-10.382338482003247,-3.00488967306479,-5
82,-11.197476950947793,-2.9230418193652175,-11
83,-10.3016122226007,-1.6356801793955396,-12
84,-10.342030406458095,-0.957935027228949,-9
85,-9.547026812945642,-0.060002796380767935,-8
86,-9.148176665362396,0.7029680814015803,-8
87,-7.672774604083864,-1.2407909169403963,-6
88,-9.788513183674775,-0.8836874147470598,-7
89,-10.503862736014035,-1.958327534281283,-8
90,-10.545709751988584,-2.565868701496884,-7
91,-10.468191130889853,-1.9420215248333015,-11
92,-9.698864340482451,-1.3922914394697858,-9
93,-8.51391687652584,-0.40113357269996186,-10
94,-9.152906816682526,-0.6831192052125168,-7
95,-9.328877928196905,-1.8650431513663812,-14
96,-10.380557112478105,-1.3092570225879334,-15
97,-10.966642921795568,-0.8719992564411068,-17
98,-8.872664121711555,-2.1710182731688668,-16
99,-8.663976666912093,-2.8335697639473314,-15
100,-12.623005059113405,-1.842993113839629,-17
101,-10.820182325070737,-2.8498120430684106,-19
102,-9.927167330831896,-2.339572405564142,-15
103,-9.529446833348908,-3.6626613399446772,-12
104,-11.676471314959752,-2.2125769386669014,-9
105,-10.715176368812001,-4.061055183044673,-13
106,-10.638751657242597,-5.290585807557541,-16
107,-10.265646632896694,-7.12315595595042,-15
108,-9.777913978794325,-6.942336770246306,-12
109,-9.347435028754546,-5.895147802553338,-19
110,-9.50346332735073,-5.1337783489044675,-18
111,-8.92961661354439,-5.710049284150641,-18
112,-9.314300429981767,-7.087219156224761,-20
113,-8.32336552140018,-8.158831051378959,-21
114,-6.306677567609688,-7.885544327768624,-19
115,-6.838112395056554,-8.734459576734906,-20
116,-8.224994348129986,-9.086493347330578,-20
117,-7.6916025700490005,-9.973592878525746,-22
118,-8.885601738164935,-8.705978908085866,-19
119,-9.521833287036223,-8.430690706223766,-21
120,-10.529658569309904,-6.393296454042837,-22
121,-8.786326543779566,-5.528362833799181,-19
122,-10.377305909806052,-4.249617320135175,-19
123,-12.139991597200437,-4.798723115323453,-20
124,-14.507876284239186,-6.527546539100667,-19
125,-15.53157243586975,-6.563065768150569,-21
126,-15.178536308762508,-6.93573210070386,-24
127,-15.182336965129327,-7.333207922312358,-26
128,-14.515528422645561,-6.983243391301758,-26
129,-15.04574586942224,-6.848353393778003,-25
130,-17.41237989217878,-8.15585359937833,-24
131,-16.10497175802516,-8.198699686355736,-26
132,-13.98495508880006,-6.689204503279789,-25
133,-13.509452674048754,-6.0465391728982745,-25
134,-12.168237112179844,-8.343806815974283,-26
135,-13.259619897234225,-8.019502236750927,-24
136,-12.941041144893036,-10.56548996273555,-23
137,-12.660650700015495,-10.327149220614247,-24
138,-14.579068788128664,-9.926537318017607,-27
139,-15.578493031334832,-10.759030238320557,-28
140,-16.04863707085158,-10.750743798607415,-24
141,-15.812562452793035,-11.12072259049828,-25
142,-16.737559733112548,-12.460524199079591,-25
143,-20.094645413826463,-11.277448372322624,-21
144,-19.70858889850142,-13.75033218086159,-25
145,-21.739727483389956,-10.740197664072271,-25
146,-21.026991915813465,-12.944031890982174,-27
147,-21.824064767071118,-12.346158834718699,-26
148,-20.54357992298463,-12.920087555698437,-27
149,-20.403674155844673,-13.799649187656057,-28
150,-20.23579327891336,-13.258397162701772,-31
151,-22.353277225188307,-13.709977141666432,-28
152,-21.229425620231645,-14.358810243962688,-26
153,-22.725632938573437,-14.386030314529068,-26
154,-24.89942769520616,-16.76749345620927,-23
155,-24.30729078664139,-15.60371989579121,-24
156,-23.770197799643793,-16.212807084913184,-27
157,-25.390038966196958,-15.925291569069554,-24
158,-23.695554759825146,-17.298819949302334,-29
159,-23.413173157291343,-16.411238638369852,-28
160,-24.65304986562756,-15.25165165502786,-26
161,-27.3087287276323,-16.299649739899287,-26
162,-27.820704742959133,-13.68967044791335,-25
163,-29.003661631212065,-15.668080822669095,-25
164,-29.276154485641175,-17.417299424759122,-27
165,-30.35717831335746,-18.59474751203911,-24
166,-31.1064055349015,-17.6653734060003,-23
167,-29.762227259126423,-16.720037404266716,-24
168,-31.611021680844335,-16.355185281726886,-23
169,-30.407913858626024,-16.519329517216057,-22
170,-31.123388578091127,-15.324103603221149,-19
171,-29.457009903931716,-16.442566669319103,-20
172,-28.2944203434802,-16.93712967519983,-24
173,-30.11665239816523,-17.23230505058644,-22
174,-30.200850074691918,-17.832171974968123,-22
175,-27.533587841482646,-19.999007309806974,-24
176,-31.971170835069586,-21.841463047793475,-23
177,-31.00788399032725,-20.036155526991717,-25
178,-32.567761707873764,-19.601847717946136,-22
179,-30.345290738039292,-17.61346102093619,-24
180,-30.92645764513423,-17.282529300075712,-22
181,-33.090136589929436,-17.56084598958309,-22
182,-30.704027423133233,-18.683530093472026,-22
183,-30.997682205758505,-18.16225580327784,-23
184,-29.96528426946894,-20.576421539575655,-21
185,-28.693446111766487,-21.263427609859008,-22
186,-29.8558714444595,-21.177906928611886,-22
187,-28.82973468172666,-21.117614733584137,-24
188,-28.76535041004929,-20.987346143420286,-23
189,-29.807018383158987,-18.024973277824625,-22
190,-32.55790349866715,-18.260616780433626,-20
191,-31.427729684317992,-17.935448807043688,-21
192,-33.39583454972091,-19.252114042524088,-19
193,-33.73637223282473,-17.19395417799096,-20
194,-36.436597517154254,-15.880323967694684,-13
195,-35.87483597386232,-15.495697632684683,-15
196,-36.26396733848345,-16.632868316133415,-12
197,-36.4340182847984,-17.51019998031356,-12
198,-36.19200946023389,-17.198002568388628,-10
199,-36.92912805120323,-18.1337637801565,-11
200,-35.963865663114376,-17.88749575564021,-13
201,-35.751499581179964,-18.49655826856784,-11
202,-36.236927848628596,-18.451910330351318,-8
203,-34.83009812250175,-16.016682400308216,-7
204,-32.6361576458599,-18.262179053602726,-8
205,-31.398691624436893,-18.66586041743568,-8
206,-31.774722658129644,-18.224191084156452,-10
207,-33.52773010370844,-19.2360767483644,-10
208,-33.65472428354154,-17.11063142372614,-10
209,-34.82888601947097,-17.18312221441279,-9
210,-35.128680020614226,-17.52087174672688,-8
211,-35.109351161198184,-16.24612733851506,-9
212,-36.24950172725956,-13.981426026025822,-10
213,-35.44287466260626,-12.49769281784847,-6
214,-35.81890358367929,-12.400650654641945,-6
215,-34.113357699709894,-11.435389769646413,-9
216,-33.016035525260925,-10.794634598533355,-6
217,-34.79146090204997,-10.462596751473365,-8
218,-32.66152098151319,-9.75051403751054,-6
219,-35.24002982991203,-8.752858945025071,-8
220,-35.32125902927935,-11.74189567688718,-6
221,-35.27275038052509,-9.664754698240225,-6
222,-34.88062635308167,-9.43773361878198,-9
223,-37.61047019523945,-11.248021846843228,-11
224,-36.88846355137673,-11.123725078603847,-11
225,-38.0098394914714,-12.55257907303084,-12
226,-36.81404308626992,-14.119239298353573,-12
227,-36.79010500922845,-12.346561548925713,-15
228,-36.741696257850585,-11.814765346672976,-15
229,-36.47419330827096,-11.117456115174846,-13
230,-36.555356540726876,-11.443158940621736,-12
231,-35.312115798250666,-11.668775232735586,-10
232,-33.81281196618806,-10.910340516123567,-9
233,-31.445959842842534,-11.401628570490585,-11
234,-31.982167647677063,-9.812751408139862,-11
235,-31.09875626317502,-11.28139477561319,-10
236,-28.4953285847692,-8.60539171270931,-11
237,-27.20625115993073,-7.781916874090915,-9
238,-28.86814065412129,-9.787833708777173,-9
239,-26.285264658952116,-7.007695021737193,-6
240,-27.35459213759158,-9.501274254708466,-6
241,-27.14885450809339,-10.493170936323594,-8
242,-28.900268916771356,-10.710967379016944,-10
243,-31.081965269062756,-11.343582059068956,-7
244,-30.510256591122797,-11.487707728668347,-4
245,-30.70977319894272,-11.555478391283934,-4
246,-31.839223715532135,-11.871896159979158,-4
247,-31.553614861656076,-11.914447508524386,-6
248,-28.89493429436761,-13.499140446664736,-5
249,-29.74207410572293,-17.13645718192935,-4
250,-28.912346238612614,-17.262587174789438,-4
251,-29.063681428065472,-17.72849805281477,-4
252,-29.6879486021016,-16.45234652647136,-4
253,-28.702782497676406,-14.160394221416928,-4
254,-28.822430799890416,-15.530580443955428,0
255,-27.91515603857349,-17.010891809017078,-2
256,-27.393074419842474,-17.52453164064933,-3
257,-28.04592808430202,-17.44079282194987,-3
258,-25.849511636356176,-18.02136176335849,-4
259,-24.7888462416397,-16.91472378493387,-2
260,-25.921758612835927,-16.874629449435506,-6
261,-26.16233157308819,-16.02136231948741,-6
262,-26.347274453961138,-15.450829737528535,-8
263,-27.77433665276303,-14.481630316531588,-10
264,-25.674747446069368,-13.62333236799544,-14
265,-24.967494622606882,-16.61119537012546,-17
266,-23.856283443755256,-16.631586850245665,-17
267,-25.178326683196076,-17.873464937268484,-19
268,-25.450946564143454,-16.809586369144768,-19
269,-28.602717099122163,-16.605951988738422,-17
270,-29.43480538834275,-16.888218757413043,-22
271,-28.502647290247214,-18.684405883724516,-18
272,-28.445362388557093,-18.53264860403634,-19
273,-28.630655437349475,-19.095626050774086,-20
274,-28.71245753497788,-19.207729603153055,-21
275,-29.75281172812063,-19.097273387889338,-22
276,-28.561232817799905,-19.985215999194597,-25
277,-27.789026267307396,-18.963380712671366,-27
278,-28.228334111202397,-19.18332760162061,-26
279,-29.319824397139044,-20.55822180429429,-26
280,-30.13625715531592,-23.38629968008891,-27
281,-30.615422412010926,-23.416847556776332,-30
282,-31.467470472329822,-25.63671586773584,-27
283,-32.209863380973395,-24.698368710099793,-27
284,-34.39332347932503,-26.733604584338856,-21
